chipset,gb6_single,gb6_multi,antutu_v10,wildlife_extreme,n_devices,sample_device,source
Dimensity 7300,1050,3047,656811,854,1,Motorola Edge 60 Fusion,gsmarena_review:motorola_edge_70_pro
Dimensity 7300 Ultra,1047,2999,661808,850,1,Motorola Edge 60,gsmarena_review:motorola_edge_70_pro
Dimensity 7400 Ultra,1045,2913,652862,1005,1,Redmi Note 15 Pro 5G,gsmarena_review:motorola_edge_70_pro
Dimensity 8350 Extreme,1429,4476,1356227,3221,1,Motorola Edge 60 Pro,gsmarena_review:motorola_edge_70_pro
Dimensity 8400 Ultra,1582,6311,1568331,3880,1,Poco X7 Pro,gsmarena_review:motorola_edge_70_pro
Dimensity 8500 Extreme,1683,5703,1720916,4368,1,Motorola Edge 70 Pro,gsmarena_review:motorola_edge_70_pro
Dimensity 8500 Ultra,1718,6479,1663640,4103,1,Poco X8 Pro,gsmarena_review:motorola_edge_70_pro
Dimensity 9500s,2670,8539,2445108,6229,1,Poco X8 Pro Max,gsmarena_review:motorola_edge_70_pro
Exynos 1680,1376,4411,1001995,1742,1,Galaxy A57,gsmarena_review:motorola_edge_70_pro
Exynos 2400,2153,6948,1748449,4226,1,Galaxy S25 FE,gsmarena_review:motorola_edge_70_pro
Snapdragon 6 Gen 3,1015,2958,637266,861,1,Redmi Note 15 5G,gsmarena_review:motorola_edge_70_pro
Snapdragon 7 Gen 4,1333,4132,1129370,2080,4,Motorola Edge 70,gsmarena_review:motorola_edge_70_pro
Snapdragon 8 Gen 5,2941,8755,2381753,5589,1,Motorola Signature,gsmarena_review:motorola_edge_70_pro
